breed,heritage,price,,,,with outlier,w/o outlier
20,0,800,,,,-0.407090687,-0.485702055
8,0,3000,,,,1.972599758,2.966830849
14,0,800,,,,-0.407090687,-0.485702055
6,0,1000,,,,-0.190755192,-0.171835427
13,0,1000,,,,-0.190755192,-0.171835427
20,1,2200,,,,1.107257778,1.711364339
5,0,550,,,,-0.677510056,-0.878035339
9,1,2000,,,,0.890922283,1.397497711
2,0,150,,,,-1.110181046,-1.505768595
18,0,1000,,,,-0.190755192,-0.171835427
4,0,750,,,,-0.461174561,-0.564168712
4,0,850,,,,-0.353006813,-0.407235398
14,1,1100,,,,-0.082587444,-0.014902113
15,0,1500,,,,0.350083546,0.612831142
11,1,1200,,,,0.025580303,0.1420312
2,0,750,,,,-0.461174561,-0.564168712
3,0,699,,,,-0.516340112,-0.644204702
3,0,850,,,,-0.353006813,-0.407235398
3,0,1500,,,,0.350083546,0.612831142
11,0,800,,,,-0.407090687,-0.485702055
18,0,2000,,,,0.890922283,1.397497711
10,0,175,,,,-1.083139109,-1.466535266
13,0,1100,,,,-0.082587444,-0.014902113
14,0,600,,,,-0.623426182,-0.799568682
1,0,700,,,,-0.515258434,-0.642635369
20,0,1000,,,,-0.190755192,-0.171835427
13,0,800,,,,-0.407090687,-0.485702055
10,0,1500,,,,0.350083546,0.612831142
16,0,850,,,,-0.353006813,-0.407235398
11,0,1000,,,,-0.190755192,-0.171835427
9,0,1000,,,,-0.190755192,-0.171835427
7,0,800,,,,-0.407090687,-0.485702055
5,0,350,,,,-0.893845551,-1.191901967
13,1,1500,,,,0.350083546,0.612831142
5,0,400,,,,-0.839761677,-1.11343531
20,0,750,,,,-0.461174561,-0.564168712
12,0,1000,,,,-0.190755192,-0.171835427
17,0,1400,,,,0.241915798,0.455897828
4,0,600,,,,-0.623426182,-0.799568682
2,0,495,,,,-0.737002317,-0.964348662
3,0,1500,,,,0.350083546,0.612831142
14,1,1500,,,,0.350083546,0.612831142
16,0,1200,,,,0.025580303,0.1420312
19,0,1000,,,,-0.190755192,-0.171835427
5,0,450,,,,-0.785677803,-1.034968653
2,0,400,,,,-0.839761677,-1.11343531
4,0,850,,,,-0.353006813,-0.407235398
11,0,800,,,,-0.407090687,-0.485702055
16,0,1000,,,,-0.190755192,-0.171835427
3,0,2000,,,,0.890922283,1.397497711
3,0,1200,,,,0.025580303,0.1420312
7,0,1500,,,,0.350083546,0.612831142
8,0,2500,,,,1.431761021,2.18216428
18,0,2000,,,,0.890922283,1.397497711
5,0,2000,,,,0.890922283,1.397497711
1,1,1200,,,,0.025580303,0.1420312
12,0,1500,,,,0.350083546,0.612831142
1,0,1200,,,,0.025580303,0.1420312
7,1,900,,,,-0.298922939,-0.328768741
5,0,500,,,,-0.731593929,-0.956501996
7,0,600,,,,-0.623426182,-0.799568682
3,0,1400,,,,0.241915798,0.455897828
17,0,650,,,,-0.569342308,-0.721102025
14,1,1800,,,,0.674586788,1.083631083
7,0,1200,,,,0.025580303,0.1420312
18,0,800,,,,-0.407090687,-0.485702055
18,0,2000,,,,0.890922283,1.397497711
19,0,1000,,,,-0.190755192,-0.171835427
2,0,950,,,,-0.244839066,-0.250302084
14,0,1200,,,,0.025580303,0.1420312
1,0,1000,,,,-0.190755192,-0.171835427
15,1,1900,,,,0.782754536,1.240564397
16,0,1400,,,,0.241915798,0.455897828
14,0,800,,,,-0.407090687,-0.485702055
8,0,3500,,,,2.513438496,3.751497418
5,0,800,,,,-0.407090687,-0.485702055
13,0,1200,,,,0.025580303,0.1420312
20,0,1995,,,,0.885513896,1.389651045
5,0,795,,,,-0.412499074,-0.49354872
16,0,900,,,,-0.298922939,-0.328768741
9,0,800,,,,-0.407090687,-0.485702055
9,0,950,,,,-0.244839066,-0.250302084
5,0,1495,,,,0.344675158,0.604984476
9,0,400,,,,-0.839761677,-1.11343531
19,0,800,,,,-0.407090687,-0.485702055
11,0,1000,,,,-0.190755192,-0.171835427
11,0,1200,,,,0.025580303,0.1420312
4,1,2000,,,,0.890922283,1.397497711
18,0,1150,,,,-0.028503571,0.063564544
19,1,3200,,,,2.188935253,3.280697477
4,0,400,,,,-0.839761677,-1.11343531
1,0,1200,,,,0.025580303,0.1420312
1,0,1200,,,,0.025580303,0.1420312
5,0,800,,,,-0.407090687,-0.485702055
13,0,800,,,,-0.407090687,-0.485702055
11,0,600,,,,-0.623426182,-0.799568682
10,1,1200,,,,0.025580303,0.1420312
10,0,650,,,,-0.569342308,-0.721102025
14,1,1800,,,,0.674586788,1.083631083
18,0,1000,,,,-0.190755192,-0.171835427
3,1,3500,,,,2.513438496,3.751497418
10,0,1250,,,,0.079664177,0.220497857
1,1,1200,,,,0.025580303,0.1420312
4,1,2500,,,,1.431761021,2.18216428
11,0,1500,,,,0.350083546,0.612831142
20,0,400,,,,-0.839761677,-1.11343531
3,1,1400,,,,0.241915798,0.455897828
14,1,2300,,,,1.215425526,1.868297652
16,0,1600,,,,0.458251293,0.769764456
5,0,2000,,,,0.890922283,1.397497711
1,0,1500,,,,0.350083546,0.612831142
10,1,1800,,,,0.674586788,1.083631083
20,0,750,,,,-0.461174561,-0.564168712
6,0,600,,,,-0.623426182,-0.799568682
8,0,2300,,,,1.215425526,1.868297652
14,0,550,,,,-0.677510056,-0.878035339
9,0,450,,,,-0.785677803,-1.034968653
17,0,600,,,,-0.623426182,-0.799568682
6,0,1800,,,,0.674586788,1.083631083
6,1,1200,,,,0.025580303,0.1420312
3,0,1500,,,,0.350083546,0.612831142
7,0,800,,,,-0.407090687,-0.485702055
1,1,1000,,,,-0.190755192,-0.171835427
7,0,500,,,,-0.731593929,-0.956501996
5,0,700,,,,-0.515258434,-0.642635369
6,1,3000,,,,1.972599758,2.966830849
8,0,3000,,,,1.972599758,2.966830849
16,0,1000,,,,-0.190755192,-0.171835427
5,0,300,,,,-0.947929424,-1.270368624
20,0,2100,,,,0.999090031,1.554431025
12,0,1800,,,,0.674586788,1.083631083
13,0,1250,,,,0.079664177,0.220497857
6,0,500,,,,-0.731593929,-0.956501996
15,1,2200,,,,1.107257778,1.711364339
1,0,1000,,,,-0.190755192,-0.171835427
7,0,550,,,,-0.677510056,-0.878035339
3,1,1800,,,,0.674586788,1.083631083
3,0,795,,,,-0.412499074,-0.49354872
18,0,1500,,,,0.350083546,0.612831142
5,0,1150,,,,-0.028503571,0.063564544
4,0,1200,,,,0.025580303,0.1420312
20,0,900,,,,-0.298922939,-0.328768741
10,0,695,,,,-0.520666822,-0.650482034
16,0,850,,,,-0.353006813,-0.407235398
2,1,750,,,,-0.461174561,-0.564168712
1,0,800,,,,-0.407090687,-0.485702055
13,0,800,,,,-0.407090687,-0.485702055
19,0,1250,,,,0.079664177,0.220497857
