page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
Bernese Mountain Dog,Female,11-07-2017 (9 Days),No,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Pedigree"
Bernese Mountain Dog,Male,08-21-2017 (12 Weeks),No,No,$795 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Bernese Mountain Dog,Female,11-02-2010 (7 Years),No,No,$0 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee, Pedigree"
Bernese Mountain Dog,Female,08-18-2017 (12 Weeks),Yes,Yes,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Bernese Mountain Dog,Male,08-18-2017 (12 Weeks),Yes,No,$850 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,N/A,10-17-2017 (4 Weeks),Yes,Yes,$1800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Bernese Mountain Dog,Male,07-07-2017 (4 Months),Yes,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health certificate, Health guarantee"
Bernese Mountain Dog,Female,09-25-2017 (7 Weeks),Yes,No,$1800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Bernese Mountain Dog,Female,11-07-2017 (9 Days),No,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Pedigree"
Bernese Mountain Dog,Male,12-07-2016 (11 Months),No,No,$2000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
Bernese Mountain Dog,Female,10-05-2017 (6 Weeks),No,No,$1688 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Bernese Mountain Dog,Male,06-23-2017 (4 Months),Yes,Yes,‰âÂ700 EUR Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
Bernese Mountain Dog,Male,08-29-2017 (11 Weeks),No,No,$700 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee"
Bernese Mountain Dog,Male,08-21-2017 (12 Weeks),No,No,$950 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Bernese Mountain Dog,Male,03-28-2012 (5 Years),Yes,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations"
Bernese Mountain Dog,Female,11-01-2017 (15 Days),Yes,No,$1170 USD (shipping included!) Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,10-02-2017 (6 Weeks),No,No,$1200 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,08-08-2017 (14 Weeks),No,No,$1300 USD Buyer tips,Worldwide,"Current vaccinations, Veterinarian examination, Health guarantee"
Bernese Mountain Dog,Female,09-19-2017 (8 Weeks),No,No,$1500 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,10-03-2017 (6 Weeks),Yes,Yes,$2800 USD (shipping included!) Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Pedigree, Travel crate"
Bernese Mountain Dog,Male,08-21-2017 (12 Weeks),No,No,$850 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,08-21-2017 (12 Weeks),No,No,$795 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Bernese Mountain Dog,Female,11-13-2017 (3 Days),No,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,11-23-2010 (6 Years),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination"
Bernese Mountain Dog,Male,09-08-2017 (9 Weeks),No,No,$850 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination"
Bernese Mountain Dog,Female,10-21-2017 (3 Weeks),Yes,Yes,$1400 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Female,08-08-2017 (14 Weeks),No,No,$990 USD Buyer tips,Worldwide,"Current vaccinations, Veterinarian examination, Health guarantee"
Bernese Mountain Dog,Female,11-07-2017 (9 Days),No,No,$995 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Bernese Mountain Dog,Female,10-21-2017 (3 Weeks),No,No,$1500 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations"
Bernese Mountain Dog,Male,12-07-2016 (11 Months),No,No,$2000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
Bernese Mountain Dog,Male,09-21-2017 (8 Weeks),Yes,No,$1800 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,08-21-2017 (12 Weeks),No,No,$850 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
